Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]"
Antigua and Barbuda,"ATG","Population, female","SP.POP.TOTL.FE.IN","28634","29167","29575","29937","30329","30796","31382","32035","32680","33198","33516","33602","33487","33236","32929","32638","32382","32148","31950","31794","31678","31620","31627","31676","31732","31780","31808","31836","31898","32037","32293","32675","33159","33755","34470","35294","36251","37309","38385","39372","40193","40808","41254","41596","41960","42416","43007","43681","44417","45151","45837","46478","47071","47630","48165","48677","49162","49621","50058"
Antigua and Barbuda,"ATG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.115","62.555","62.979","63.385","63.774","64.148","64.51","64.864","65.212","65.557","65.897","66.232","66.558","66.875","67.181","67.479","67.768","68.051","68.328","68.602","68.873","69.141","69.408","69.671","69.931","70.187","70.435","70.675","70.907","71.132","71.351","71.567","71.783","71.999","72.218","72.44","72.663","72.887","73.108","73.327","73.541","73.752","73.957","74.158","74.354","74.544","74.727","74.905","75.078","75.247","75.412","75.574","75.733","75.892","76.05","76.207","76.364","76.519",""
Argentina,"ARG","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","1155.89017025099","850.30473690206","1173.23821277123","1279.11343214531","1272.80297767396","1062.54355190601","1141.0804807929","1329.05865921566","1322.59080368944","1372.3743432739","1408.86520848881","2097.02257902742","2844.86364753884","2027.33712384746","1948.22468587272","2129.70828089903","2146.36448309866","2520.92163373012","2758.83521210768","2776.32199028147","2927.89756021605","3553.37775166279","2659.70860023312","2926.126969514","3613.62170927636","3562.87560174521","3985.19121035849","2383.86769311311","4333.48297312146","5735.36032735223","6823.5376160468","6969.11808781005","7483.13968170844","7408.70823818765","7721.35454273963","8213.12719994479","8289.50572933118","7774.73620280001","7708.10099605414","7208.3715665121","2593.40415042466","3349.8061244115","4277.72135064389","5109.85132522621","5919.01203707753","7245.44831728945","9020.87309807194","8225.13717626412","10385.9644319555","12848.8641969705","13082.664325572","13080.2547323367","12334.7982453893","13789.060424772","12790.2424732447","14591.8633810541","11652.5662897487"
Argentina,"ARG","Population, total","SP.POP.TOTL","20481779","20817266","21153052","21488912","21824425","22159650","22494035","22828869","23168267","23517611","23880561","24259561","24653175","25056478","25462302","25865776","26264681","26661398","27061047","27471036","27896528","28338515","28794548","29262047","29737093","30216279","30698964","31184415","31668949","32148134","32618651","33079000","33529326","33970111","34402672","34828170","35246374","35657429","36063459","36467218","36870787","37275652","37681749","38087868","38491972","38892931","39289878","39684295","40080160","40482788","40788453","41261490","41733271","42202935","42669500","43131966","43590368","44044811","44494502"
Argentina,"ARG","Population, male","SP.POP.TOTL.MA.IN","10401286","10558698","10715349","10871298","11026603","11181504","11335486","11489110","11644954","11806405","11975665","12154726","12342377","12533826","12722324","12903396","13074728","13238861","13401947","13572767","13757532","13958143","14172184","14396261","14625096","14854600","15083804","15313176","15541683","15768451","15992738","16214032","16431896","16645911","16855746","17061319","17262221","17458805","17652629","17845837","18039993","18236009","18433642","18631971","18829514","19025364","19219001","19411279","19604329","19801023","19950809","20183022","20415111","20646580","20876860","21105367","21332108","21557141","21780048"
Argentina,"ARG","Population, female","SP.POP.TOTL.FE.IN","10080493","10258568","10437703","10617614","10797822","10978146","11158549","11339759","11523313","11711206","11904896","12104835","12310798","12522652","12739978","12962380","13189953","13422537","13659100","13898269","14138996","14380372","14622364","14865786","15111997","15361679","15615160","15871239","16127266","16379683","16625913","16864968","17097430","17324200","17546926","17766851","17984153","18198624","18410830","18621381","18830794","19039643","19248107","19455897","19662458","19867567","20070877","20273016","20475831","20681765","20837644","21078468","21318160","21556355","21792640","22026599","22258260","22487670","22714454"
Argentina,"ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.022","65.141","65.233","65.311","65.388","65.481","65.603","65.76","65.953","66.184","66.449","66.74","67.044","67.349","67.652","67.95","68.248","68.549","68.856","69.164","69.464","69.746","70.003","70.234","70.438","70.623","70.797","70.971","71.155","71.352","71.565","71.79","72.023","72.256","72.489","72.719","72.947","73.173","73.397","73.618","73.832","74.039","74.236","74.424","74.603","74.775","74.941","75.105","75.268","75.431","75.595","75.761","75.926","76.089","76.252","76.415","76.577","76.738",""
Armenia,"ARM","GDP per capita (current US$)","NY.GDP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","637.854659491342","590.121047267559","369.632616583198","357.203277745679","400.515238080735","456.375048663809","504.058559449916","523.283068040748","609.172437516102","597.432514707894","622.742139063498","694.42322774468","783.240698647042","930.127321851799","1191.91901957402","1643.7530293611","2158.14369710179","3139.27749894333","4010.85724255226","2994.34254448509","3218.37270660563","3525.80474671153","3681.8574560431","3838.18580148382","3986.23162376713","3607.29669672271","3591.82927553023","3914.5012684128","4212.07094272937"
Armenia,"ARM","Population, total","SP.POP.TOTL","1874121","1941492","2009526","2077578","2145001","2211319","2276034","2339127","2401143","2462928","2525068","2587708","2650486","2712786","2773748","2832759","2889579","2944383","2997417","3049109","3099754","3148096","3193689","3238595","3285599","3335940","3392264","3451947","3504659","3536474","3538171","3505258","3442817","3363108","3283667","3217348","3168221","3133089","3108687","3089022","3069591","3050687","3033978","3017932","3000720","2981269","2958307","2932618","2907618","2888092","2877319","2876538","2884229","2897584","2912403","2925553","2936146","2944809","2951776"
Armenia,"ARM","Population, male","SP.POP.TOTL.MA.IN","903002","937046","971494","1006014","1040244","1073913","1106797","1138846","1170243","1201277","1232158","1262935","1293463","1323513","1352769","1381022","1408109","1434129","1459383","1484315","1509207","1533514","1556871","1579966","1603714","1628367","1655211","1683011","1706510","1718651","1714818","1692677","1654932","1608298","1562324","1524016","1495576","1475294","1461448","1450805","1440919","1431992","1424848","1418312","1410955","1401876","1390240","1376543","1362866","1352129","1346355","1346282","1350990","1358843","1367389","1374800","1380577","1385096","1388583"
Armenia,"ARM","Population, female","SP.POP.TOTL.FE.IN","971119","1004446","1038032","1071564","1104757","1137406","1169237","1200281","1230900","1261651","1292910","1324773","1357023","1389273","1420979","1451737","1481470","1510254","1538034","1564794","1590547","1614582","1636818","1658629","1681885","1707573","1737053","1768936","1798149","1817823","1823353","1812581","1787885","1754810","1721343","1693332","1672645","1657795","1647239","1638217","1628672","1618695","1609130","1599620","1589765","1579393","1568067","1556075","1544752","1535963","1530964","1530256","1533239","1538741","1545014","1550753","1555569","1559713","1563193"
